Project,seven_day_fee,thirty_day_fee,hundred_day_fee
arbitrum,-89.34222142580506,-85.45295996180876,-88.65038754033958
optimism,-77.59000109765891,-89.82496836572366,-90.28842565635551
uniswap,-8.556902460991822,-37.80696580768029,-34.876912972755
velodrome,53047.21189238827,20433.043075561294,64264.912305267695
ethena,-38.94478610358243,-99.57848769816347,-100.0
