,date,fee
157,2024-04-29 02:00:00,0
158,2024-04-30 02:00:00,5
159,2024-05-01 02:00:00,1000
160,2024-05-02 02:00:00,2004108
161,2024-05-03 02:00:00,100
162,2024-05-04 02:00:00,0
163,2024-05-05 02:00:00,0
164,2024-05-06 02:00:00,0
165,2024-05-07 02:00:00,2000
166,2024-05-08 02:00:00,0
167,2024-05-09 02:00:00,1362492
168,2024-05-10 02:00:00,6726
169,2024-05-11 02:00:00,500
170,2024-05-12 02:00:00,3500
171,2024-05-13 02:00:00,3000
172,2024-05-14 02:00:00,3000
173,2024-05-15 02:00:00,6485
174,2024-05-16 02:00:00,2790365
175,2024-05-17 02:00:00,68888
176,2024-05-18 02:00:00,33301
177,2024-05-19 02:00:00,11295
178,2024-05-20 02:00:00,48020
179,2024-05-21 02:00:00,53150
180,2024-05-22 02:00:00,13123
181,2024-05-23 02:00:00,4605250
182,2024-05-24 02:00:00,90724
183,2024-05-25 02:00:00,16500
184,2024-05-26 02:00:00,19600
185,2024-05-27 02:00:00,61538
186,2024-05-28 02:00:00,48773
187,2024-05-29 02:00:00,33449
188,2024-05-30 02:00:00,6878272
189,2024-05-31 02:00:00,31958
190,2024-06-01 02:00:00,18576
191,2024-06-02 02:00:00,11016
192,2024-06-03 02:00:00,40927
193,2024-06-04 02:00:00,42766
194,2024-06-05 02:00:00,36323
195,2024-06-06 02:00:00,7331083
196,2024-06-07 02:00:00,57863
197,2024-06-08 02:00:00,64895
198,2024-06-09 02:00:00,43346
199,2024-06-10 02:00:00,10348
200,2024-06-11 02:00:00,41528
201,2024-06-12 02:00:00,28295
202,2024-06-13 02:00:00,5738338
203,2024-06-14 02:00:00,30645
204,2024-06-15 02:00:00,0
205,2024-06-16 02:00:00,4959
206,2024-06-17 02:00:00,2700
207,2024-06-18 02:00:00,320
208,2024-06-19 02:00:00,1570
209,2024-06-20 02:00:00,3819731
210,2024-06-21 02:00:00,4488
211,2024-06-22 02:00:00,500
212,2024-06-23 02:00:00,0
213,2024-06-24 02:00:00,2821
214,2024-06-25 02:00:00,10000
215,2024-06-26 02:00:00,0
216,2024-06-27 02:00:00,2645540
217,2024-06-28 02:00:00,2910
218,2024-06-29 02:00:00,0
219,2024-06-30 02:00:00,0
220,2024-07-01 02:00:00,6
221,2024-07-02 02:00:00,5000
222,2024-07-03 02:00:00,3301
223,2024-07-04 02:00:00,4280878
224,2024-07-05 02:00:00,796
225,2024-07-06 02:00:00,4000
226,2024-07-07 02:00:00,27
227,2024-07-08 02:00:00,0
228,2024-07-09 02:00:00,0
229,2024-07-10 02:00:00,0
230,2024-07-11 02:00:00,2285632
231,2024-07-12 02:00:00,0
232,2024-07-13 02:00:00,0
233,2024-07-14 02:00:00,0
234,2024-07-15 02:00:00,0
235,2024-07-16 02:00:00,0
236,2024-07-17 02:00:00,0
237,2024-07-18 02:00:00,2892955
238,2024-07-19 02:00:00,0
239,2024-07-20 02:00:00,0
240,2024-07-21 02:00:00,0
