,0,1
0,1679616000,494.311540901308
1,1679702400,39682.0170519345
2,1679788800,145574.73909487808
3,1679875200,144433.8345997763
4,1679961600,160936.25174399817
5,1680048000,158934.2797563859
6,1680134400,169440.3232389834
7,1680220800,165570.36143647213
8,1680307200,213312.93431681677
9,1680393600,134537.31715805508
10,1680480000,156175.0038662149
11,1680566400,199744.6824579096
12,1680652800,187642.2809134915
13,1680739200,197942.09473417135
14,1680825600,216261.88211265873
15,1680912000,173197.55554114064
16,1680998400,175895.10234011372
17,1681084800,181975.06006397976
18,1681171200,221281.05278639027
19,1681257600,224702.12857045338
20,1681344000,205864.78268889364
21,1681430400,213217.92302597212
22,1681516800,183270.13666367935
23,1681603200,172138.19879134485
24,1681689600,152052.18789224888
25,1681776000,185403.80927887608
26,1681862400,173029.79009439333
27,1681948800,252139.39420520753
28,1682035200,168195.72867237322
29,1682121600,143164.77259553448
30,1682208000,155495.72099817256
31,1682294400,169586.1232940194
32,1682380800,215530.84364810286
33,1682467200,207514.94539382352
34,1682553600,241514.50133598162
35,1682640000,239193.52388188776
36,1682726400,232277.83495231913
37,1682812800,209517.7667142625
38,1682899200,232551.8211981991
39,1682985600,278435.6846725905
40,1683072000,177352.666288954
41,1683158400,270961.69241105526
42,1683244800,338676.0412235206
43,1683331200,228415.1407872705
44,1683417600,367366.68160877627
45,1683504000,247325.74991961173
46,1683590400,358101.050098875
47,1683676800,232451.22473240586
48,1683763200,803149.5970453157
49,1683849600,435904.1653963043
50,1683936000,273788.186979474
51,1684022400,378986.82439322636
52,1684108800,301020.4609992971
53,1684195200,402065.7498167495
54,1684281600,736657.198213638
55,1684368000,596172.7560721149
56,1684454400,308739.9518057971
57,1684540800,268715.6742402036
58,1684627200,258974.157909349
59,1684713600,310046.176267344
60,1684800000,268213.7724246751
61,1684886400,247474.067034628
62,1684972800,269228.3225147982
63,1685059200,247641.93167991273
64,1685145600,268710.3092661429
65,1685232000,256193.79271316392
66,1685318400,261290.42589452266
67,1685404800,248902.39656562323
68,1685491200,244715.44810958582
69,1685577600,276900.88247910055
70,1685664000,199457.51994410416
71,1685750400,248485.1714063088
72,1685836800,245330.94188682368
73,1685923200,250405.1349767624
74,1686009600,231112.7688391632
75,1686096000,221195.94256662647
76,1686182400,196658.97657091916
77,1686268800,183385.70367348054
78,1686355200,168241.02581503714
79,1686441600,152486.68607710046
80,1686528000,178682.3308397342
81,1686614400,187997.77196453366
82,1686700800,174662.93682577007
83,1686787200,194840.0032130878
84,1686873600,175322.4010173405
85,1686960000,179735.1387307398
86,1687046400,168258.0690333267
87,1687132800,150154.091159624
88,1687219200,176888.9098685016
89,1687305600,196016.9456681448
90,1687392000,233873.76346536205
91,1687478400,147545.16827062352
92,1687564800,165861.06671741823
93,1687651200,178061.7566158854
94,1687737600,198272.04653938988
95,1687824000,212703.646757463
96,1687910400,209256.69875505142
97,1687996800,235681.52368339416
98,1688083200,240451.30584504508
99,1688169600,231742.6719742738
100,1688256000,210489.66898454283
101,1688342400,227824.5699644137
102,1688428800,223108.29160741562
103,1688515200,256554.84234618297
104,1688601600,215412.23551306626
105,1688688000,229318.38446761188
106,1688774400,241614.50578120392
107,1688860800,254144.5311986107
108,1688947200,242956.99605933888
109,1689033600,250041.1715702251
110,1689120000,252655.7173427465
111,1689206400,287354.39829121163
112,1689292800,271996.9011789053
113,1689379200,252027.2295582942
114,1689465600,262151.6600061166
115,1689552000,240296.31340650207
116,1689638400,255423.80995286544
117,1689724800,208274.82625459202
118,1689811200,268638.30289412965
119,1689897600,245923.54290769435
120,1689984000,234342.48699389026
121,1690070400,265328.21465698746
122,1690156800,246974.1029452685
123,1690243200,237978.68183963865
124,1690329600,365415.78167362325
125,1690416000,267900.99258663785
126,1690502400,258287.16785230022
127,1690588800,193991.6481932353
128,1690675200,258713.7654787016
129,1690761600,236682.91376561692
130,1690848000,236187.06442747798
131,1690934400,200528.73919500483
132,1691020800,217643.1385616215
133,1691107200,219456.53122024034
134,1691193600,210120.31992476346
135,1691280000,208006.4623600074
136,1691366400,212003.39245008593
137,1691452800,218212.08410858212
138,1691539200,225305.42773246206
139,1691625600,233138.633388674
140,1691712000,223141.18821313174
141,1691798400,223147.8405189159
142,1691884800,235386.03269801827
143,1691971200,232193.33574757524
144,1692057600,219739.91098765528
145,1692144000,207801.6944844557
146,1692230400,230365.2616337848
147,1692316800,216339.15930841214
148,1692403200,195823.0437343457
149,1692489600,220960.58187191928
150,1692576000,189955.92090842038
151,1692662400,191663.06388174222
152,1692748800,204582.1997265042
153,1692835200,215521.07840504954
154,1692921600,208196.33002807357
155,1693008000,185316.2007882432
156,1693094400,220501.37598836882
157,1693180800,199675.79001114026
158,1693267200,186067.29166025796
159,1693353600,196812.83772998856
160,1693440000,187505.8775671301
161,1693526400,202700.23151446844
162,1693612800,165648.1083562788
163,1693699200,177101.45394647037
164,1693785600,186189.16873550118
165,1693872000,159447.74696845934
166,1693958400,169746.08920977026
167,1694044800,167380.99519351672
168,1694131200,180957.87710067534
169,1694217600,169343.45211655495
170,1694304000,185122.26087100065
171,1694390400,170729.46238647404
172,1694476800,168316.71606402835
173,1694563200,160232.02060028995
174,1694649600,154488.00594977272
175,1694736000,179435.01017327514
176,1694822400,171369.94220435873
177,1694908800,176410.02450134984
178,1694995200,168881.01753786902
179,1695081600,173190.30197768848
180,1695168000,189665.4039527944
181,1695254400,177366.8900470542
182,1695340800,163472.8862250855
183,1695427200,166912.70554781985
184,1695513600,156992.0634121878
185,1695600000,159630.12357056176
186,1695686400,157918.1371485055
